#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GetWeatherAdjective_Sunny;晴朗;;;;;;;;;;x
GetWeatherAdjective_Rainy;雨天;;;;;;;;;;x
GetWeatherAdjective_Snowy;降雪;;;;;;;;;;x
GetWeatherAdjective_Stormy;暴风;;;;;;;;;;x
GetWeatherAdjective_Windy;大风;;;;;;;;;;x
GetWeatherAdjective_Cloudy;多云;;;;;;;;;;x
GetWeatherAdjective_Foggy;大雾;;;;;;;;;;x
GetTemperature_Sweltering;闷热;;;;;;;;;;x
GetTemperature_Freezing;严寒;;;;;;;;;;x
GetTemperature_Cold;寒冷;;;;;;;;;;x
GetTemperature_Warm;温暖;;;;;;;;;;x
GetHolding_Castle_1;城堡;;;;;;;;;;x
GetHolding_Castle_2;城堡;;;;;;;;;;x
GetHolding_Castle_3;宫殿;;;;;;;;;;x
GetHolding_Temple_1;神庙;;;;;;;;;;x
GetHolding_Nomad_1;营地;;;;;;;;;;x
GetHolding_Nomad_2;宿营地;;;;;;;;;;x
GetHolding_Nomad_3;宫殿;;;;;;;;;;x
GetHolding_Tribal_1;村庄;;;;;;;;;;x
GetHolding_Tribal_2;城镇;;;;;;;;;;x
GetHolding_Tribal_3;堡垒;;;;;;;;;;x
GetHolding_City_1;城市;;;;;;;;;;x
GetHolding_City_2;城市;;;;;;;;;;x
GetHolding_City_3;大都会;;;;;;;;;;x
GetHolding_Fallback_1;首府;;;;;;;;;;x
GetHouseOfWorship_Christian;教堂;;;;;;;;;;x
GetHouseOfWorship_Muslim;清真寺;;;;;;;;;;x
GetHouseOfWorship_Pagan;神庙;;;;;;;;;;x
GetHouseOfWorship_Zoroastrian;神庙;;;;;;;;;;x
GetHouseOfWorship_Jewish;犹太会堂;;;;;;;;;;x
GetHouseOfWorship_Hindu;神庙;;;;;;;;;;x
GetHouseOfWorship_Buddhist;神庙;;;;;;;;;;x
GetHouseOfWorship_Jain;神庙;;;;;;;;;;x
EVTDESC_MNM_6250_A;在经过深思熟虑后，我决定把[assassin_protege_1.GetFirstName]训练成一名阴影中的刺客。[assassin_protege_1.GetSheHeCap]在一些事情上一直表现出钢铁般的决心，我认为[assassin_protege_1.GetSheHe]比 [assassin_protege_1.GetSheHe]想的要更聪明...这或许是一条危险的道路，但在我的培养下，也许[assassin_protege_1.GetSheHe]能表现的更加出色。;;;;;;;;;;x
EVTDESC_MNM_6250_B;今天我当场抓住了一个试图偷我钱的少年。当我的卫兵抓到[assassin_protege.GetSheHe]的时候，我从[assassin_protege.GetHerHis]眼中感受到了[assassin_protege.GetSheHe]的无畏。这让我想到阿萨辛交给我的任务，我不知道这孩子是否像[assassin_protege.GetSheHe]看上去那样灵巧，但或许这孩子将来可以为我所用？;;;;;;;;;;x
EVTOPTA_MNM_6250;我会和[assassin_protege_1.GetTitledFirstName]谈谈有关[assassin_protege_1.GetHerHis]潜能的事情。;;;;;;;;;;x
EVTOPTA_MNM_6250_TT;你开始训练§Y[assassin_protege_1.GetTitledFirstName]§!。\n;;;;;;;;;;x
EVTOPTB_MNM_6250;也许[assassin_protege_2.GetTitledFirstName]更适合这些...;;;;;;;;;;x
EVTOPTB_MNM_6250_TT;你开始训练§Y[assassin_protege_2.GetTitledFirstName]§!。\n;;;;;;;;;;x
EVTOPTC_MNM_6250;事实上，[assassin_protege_3.GetTitledFirstName] 是最好的选择。;;;;;;;;;;x
EVTOPTC_MNM_6250_TT;你开始训练§Y[assassin_protege_3.GetTitledFirstName]§!。\n;;;;;;;;;;x
EVTOPTD_MNM_6250;让[assassin_protege.GetHerHim]走！我对这迷失的灵魂很感兴趣。;;;;;;;;;;x
EVTOPTD_MNM_6250_TT;你开始训练§Y[assassin_protege.GetTitledFirstName]§!。\n;;;;;;;;;;x
EVTOPTE_MNM_6250;把这淘气鬼带走！没人能轻易地从[Root.GetTitle]这偷东西！;;;;;;;;;;x
EVTOPTE_MNM_6250_TT;你无视了为§Y阿萨辛§!训练一名学徒的机会。这个孩子因[assassin_protege.GetHerHis]的罪行被囚禁。\n;;;;;;;;;;x
EVTOPTF_MNM_6250;我现在不再为此而担心了。;;;;;;;;;;x
EVTOPTF_MNM_6250_TT;你忽视了一个训练刺客的机会。\n;;;;;;;;;;x
opinion_parental_praise;受到了父母的赞扬;;;;;;;;;;x
opinion_was_shown_mercy;曾蒙宽恕;;;;;;;;;;x
EVTDESC_MNM_6252;在我的监护下[assassin_protege.GetTitledFirstName]成长为一个自信的年轻[assassin_protege.GetBoyGirl]。[assassin_protege.GetSheHeCap]学习了我教给[assassin_protege.GetHerHim]的一切并且渴望更多的了解我们的信仰...为了 [assassin_protege.GetHerHim]，应该谨慎考虑下一步。;;;;;;;;;;x
EVTOPTA_MNM_6252;[assassin_protege.GetSheHeCap]应当选择文化传承重心，以达成任务目标。;;;;;;;;;;x
EVTOPTA_MNM_6252_TT;你鼓励 §Y[assassin_protege.GetTitledFirstName]§发展密谋能力！。\n;;;;;;;;;;x
EVTOPTB_MNM_6252;[assassin_protege.GetSheHeCap] 应该接受更多暗杀技巧的训练。;;;;;;;;;;x
EVTOPTB_MNM_6252_TT;你鼓励 §Y[assassin_protege.GetTitledFirstName]§发展军事技能！。\n;;;;;;;;;;x
EVTOPTC_MNM_6252;[assassin_protege.GetSheHeCap] 需要均衡地了解一下 [assassin_protege.GetHerHis] 领域中所有的专业知识。;;;;;;;;;;x
EVTOPTC_MNM_6252_TT;你会努力为§Y[assassin_protege.GetTitledFirstName]§!准备一个平衡的训练计划\n;;;;;;;;;;x
