#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_JD_10020;一开始我没有听到任何关于[adventurous_spirit.GetTitledFirstName]的消息，我以为[adventurous_spirit.GetHerHis]归途不过是被推迟了。令人遗憾地，如今我正式从[the_protector_general.GetTitledName]那里得到了[adventurous_spirit.GetHerHis]死讯。;;;;;;;;;;x
china_physician_cd;§Y派遣一名医生§!;;;;;;;;;;x
china_physician_cd_desc;你已经向中国派出一名医生了，你不能再派遣了。;;;;;;;;;;x
temple_barony_of_taoist;道观;;;;;;;;;;x
kow_tow_travels_death;在前往中华帝国的旅途中;;;;;;;;;;x
EVT_DESC_JD_60314;[From.Offmap.Ruler.GetChineseComplimentAdjective] [From.Offmap.Ruler.GetTitle]的[From.GetTitle]向[Root.PrimaryTitle.GetFullName]的[Root.GetTitle]寄了封信。\n\n你辜负了[From.Offmap.Ruler.GetLongChineseEmperorName]的皇恩。我们知道[FromFrom.GetChineseCharacterRole] [FromFrom.GetTitledName]的死是由你一手造成。不要以为[From.Offmap.Ruler.GetTitle]会轻饶此事。;;;;;;;;;;x
hostages_random_imprisonment_tt;你将随机逮捕目标的一名§Y近亲§!。;;;;;;;;;;x
NOT_PACIFIED_BY_LIEGE_DATELESS;未被领主要求强制和平;;;;;;;;;;x
RULES_ACHIEVEMENT_REQUIRE_NO_RULER_DESIGNER;不可使用§Y人物设计器§!;;;;;;;;;;x
IRONMAN_MODE_RULER_DESIGNER_DESC;已启用人物设计器，成就不可用。;;;;;;;;;;x
REQUIREMENTS_HEADER;§Y要求§!：;;;;;;;;;;x
OLD_SAVE_WARNING;§Y这是一个旧存档，加载它或会导致各种问题§!;;;;;;;;;;x
TRADE_ROUTE_GLOBAL_VALUE_CHANGED;外部因素使这个贸易路线的贸易价值增加$VALUE|+0%$。;;;;;;;;;;x
NOT_ALLOWED_TO_PLAY_SAME_CHARACTER;你不能同其他玩家使用同一角色;;;;;;;;;;x
chinese_grace_become_tributary_desc;向§Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!表现你的忠诚。;;;;;;;;;;x
chinese_grace_become_tributary_effect_TT;以§R50%收入§!、§R30%部队数额§!以及§R[GetChineseOffmapTributaryPrestigeCost]§!为代价，获得§G每月2点皇恩§!以及§G在被攻击时可征召中国军团§!的能力。\n这些效果持续到§Y该朝代对中国统治的终结§!，或者通过（战争、决议）§Y得到独立§!后取消。\n;;;;;;;;;;x
ENDGAME_TEXT_INDIAN;你皈依了东方宗教，但是没有印度罗阇或玉龙DLC，因此不允许继续游戏。\n;;;;;;;;;;x
you_will_game_over_tt;§R你不能以这个宗教进行游戏，否则会导致游戏结束！§!\n;;;;;;;;;;x
is_not_one_eyed_handed_legged_disfigured_or_mangled_tt;没有§Y独眼§!，§Y独臂§!，§Y独腿§!，§Y毁容§!，或§Y血肉模糊§!特质\n;;;;;;;;;;x
is_not_maimed_or_infirm_tt;没有§Y残废§!或§Y体弱多病§!特质\n;;;;;;;;;;x
is_not_wounded_severely_injured_tt;没有§Y受伤§!或§Y身受重伤§!特质\n;;;;;;;;;;x
EVTTOOLTIP100201;你向你的朋友寻求帮助以提高剑术技能\n;;;;;;;;;;x
String_personality_old_and_wistful;花有重开日，人再无少年;;;;;;;;;;x
String_personality_young_cynics;根本没法和这帮迂腐的老头讨论政治;;;;;;;;;;x
String_personality_same_society;作为[This.Society.GetName]的一员，我们有许多工作要做;;;;;;;;;;x
String_personality_focus_war;我们对战争与策略有着共同的追求;;;;;;;;;;x
String_personality_focus_hunting;打猎和户外活动的刺激;;;;;;;;;;x
String_personality_focus_seduction;人生苦短，追求真正的欲望会带来毋庸置疑的喜悦与刺激;;;;;;;;;;x
String_personality_focus_intrigue;宫廷密谋和关于某位国外外交官令人着迷的传言;;;;;;;;;;x
String_personality_focus_carousing;所有在极度铺张的盛宴上可能发生的事情;;;;;;;;;;x
String_personality_focus_family;血缘的价值，以及家族的重要性;;;;;;;;;;x
String_personality_focus_theology;翻译圣文的途径，以及信仰那令人愉悦的一面;;;;;;;;;;x
String_personality_focus_scholarship;人类的好奇心，以及不时对[Root.Religion.GetHighGodName]的概念的辩论;;;;;;;;;;x
String_personality_focus_rulership;有时候努力去将你的机构和人民公平对待是吃力不讨好的。;;;;;;;;;;x
String_personality_focus_business;一个运作良好机构的错综复杂，以及委派的技巧;;;;;;;;;;x
String_personality_same_culture;[Root.Culture.GetName]文化和礼仪的细枝末节;;;;;;;;;;x
String_personality_same_religion;[Root.Religion.GetName]信仰，以及我们喜爱的赞美诗;;;;;;;;;;x
String_personality_landscape;[Root.PrimaryTitle.GetName]的风景，尤其是在[Root.Capital.GetName]附近;;;;;;;;;;x
String_personality_artifacts;漂亮的旧玩意儿，以及藏在宝库中的小饰品;;;;;;;;;;x
