### ParaTranz ###
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC38321;把我将来可能用得上的东西送给别人并不总是最好的选择。我失去了§Y慷慨§!特质。;;;;;;;;;;;;x
EVTDESC38322;与人分享是一种快乐。我失去了§Y贪婪§!特质。;;;;;;;;;;;;x
wonder_library;大图书馆;;;;;;;;;;;;x
wonder_library_desc;书籍是宝贵的，有关古往今来事物的知识写在它们的字里行间。这座知识的宝库将具备储存数以千计的书籍的能力，还配有配套的阅读设备。;;;;;;;;;;;;x
String_Library;图书馆;;;;;;;;;;;;x
String_Drama;戏剧;;;;;;;;;;;;x
String_Poetry;诗集;;;;;;;;;;;;x
String_Architecture;建筑学书籍;;;;;;;;;;;;x
String_Philosophy;哲学书;;;;;;;;;;;;x
String_History;史籍;;;;;;;;;;;;x
String_Astronomy;天文学书籍;;;;;;;;;;;;x
String_Medical;解剖学书籍;;;;;;;;;;;;x
String_aDrama;一本戏剧;;;;;;;;;;;;x
String_aPoetry;一册诗集;;;;;;;;;;;;x
String_anArchitecture;一本建筑学书籍;;;;;;;;;;;;x
String_aPhilosophy;一本哲学书籍;;;;;;;;;;;;x
String_aHistory;一本史籍;;;;;;;;;;;;x
String_anAstronomy;一本天文学书籍;;;;;;;;;;;;x
String_aMedical;一本解剖学书籍;;;;;;;;;;;;x
String_ADrama;一本戏剧;;;;;;;;;;;;x
String_APoetry;一册诗集;;;;;;;;;;;;x
String_AnArchitecture;建筑学书籍;;;;;;;;;;;;x
String_APhilosophy;哲学书籍;;;;;;;;;;;;x
String_AHistory;史籍;;;;;;;;;;;;x
String_AnAstronomy;天文学书籍;;;;;;;;;;;;x
String_AMedical;解剖学书籍;;;;;;;;;;;;x
String_Writer;作家;;;;;;;;;;;;x
String_Poet;诗人;;;;;;;;;;;;x
String_Architect;建筑师;;;;;;;;;;;;x
String_Philosopher;哲人;;;;;;;;;;;;x
String_Historian;史学家;;;;;;;;;;;;x
String_Astronomer;天文学家和哲学家;;;;;;;;;;;;x
String_Medic;医生;;;;;;;;;;;;x
String_greek;希腊;;;;;;;;;;;;x
String_roman;罗马;;;;;;;;;;;;x
String_Euripedes;欧里庇得斯;;;;;;;;;;;;x
String_Sophocles;索福克勒斯;;;;;;;;;;;;x
String_Aristophanes;阿里斯托芬;;;;;;;;;;;;x
String_Philemon;菲勒蒙;;;;;;;;;;;;x
String_Aeschylus;埃斯库罗斯;;;;;;;;;;;;x
